questions,answer,grouped_answers
"RETURN, LEVEL, JAZZ, BUCKS, SHIFT, OPTION, HEAT, MOM, SNOW, KAYAK, SLEET, TAB, RACECAR, RAIN, NETS, HAIL","[['HAIL', 'RAIN', 'SLEET', 'SNOW'], ['BUCKS', 'HEAT', 'JAZZ', 'NETS'], ['OPTION', 'RETURN', 'SHIFT', 'TAB'], ['KAYAK', 'LEVEL', 'MOM', 'RACECAR']]","WET WEATHER - ['HAIL', 'RAIN', 'SLEET', 'SNOW']
NBA TEAMS - ['BUCKS', 'HEAT', 'JAZZ', 'NETS']
KEYBOARD KEYS - ['OPTION', 'RETURN', 'SHIFT', 'TAB']
PALINDROMES - ['KAYAK', 'LEVEL', 'MOM', 'RACECAR']"
"SNEAKER, MILE, US, ARE, LEAGUE, BOOT, PUMP, YARD, LOAFER, QUEUE, PEOPLE, FOOT, TIME, WHY, SEA, ESSENCE","[['BOOT', 'LOAFER', 'PUMP', 'SNEAKER'], ['FOOT', 'LEAGUE', 'MILE', 'YARD'], ['ESSENCE', 'PEOPLE', 'TIME', 'US'], ['ARE', 'QUEUE', 'SEA', 'WHY']]","FOOTWEAR - ['BOOT', 'LOAFER', 'PUMP', 'SNEAKER']
UNITS OF LENGTH - ['FOOT', 'LEAGUE', 'MILE', 'YARD']
MAGAZINES - ['ESSENCE', 'PEOPLE', 'TIME', 'US']
LETTER HOMOPHONES - ['ARE', 'QUEUE', 'SEA', 'WHY']"
"AMIGO, LAB, GOBBLE, PIT, KING, TENOR, CHEEK, PEKE, SCARF, STOOGE, MOUTH, EYE, POM, WOLF, CHOW, NOSE","[['CHEEK', 'EYE', 'MOUTH', 'NOSE'], ['CHOW', 'GOBBLE', 'SCARF', 'WOLF'], ['LAB', 'PEKE', 'PIT', 'POM'], ['AMIGO', 'KING', 'STOOGE', 'TENOR']]","FACIAL FEATURES - ['CHEEK', 'EYE', 'MOUTH', 'NOSE']
SYNONYMS FOR EAT - ['CHOW', 'GOBBLE', 'SCARF', 'WOLF']
DOG BREEDS, INFORMALLY - ['LAB', 'PEKE', 'PIT', 'POM']
MEMBERS OF A TRIO - ['AMIGO', 'KING', 'STOOGE', 'TENOR']"
"CATS, SUPER, SWEEP, MOP, ADIDAS, BAT, VACUUM, CAROUSEL, CABARET, DUST, PUMA, CHICAGO, IRON, REEBOK, SPIDER, NIKE","[['ADIDAS', 'NIKE', 'PUMA', 'REEBOK'], ['CABARET', 'CAROUSEL', 'CATS', 'CHICAGO'], ['DUST', 'MOP', 'SWEEP', 'VACUUM'], ['BAT', 'IRON', 'SPIDER', 'SUPER']]","SNEAKER BRANDS - ['ADIDAS', 'NIKE', 'PUMA', 'REEBOK']
MUSICALS BEGINNING WITH “C” - ['CABARET', 'CAROUSEL', 'CATS', 'CHICAGO']
CLEANING VERBS - ['DUST', 'MOP', 'SWEEP', 'VACUUM']
___ MAN SUPERHEROES - ['BAT', 'IRON', 'SPIDER', 'SUPER']"
"TARTAR, GLUM, RELISH, SCARLET, MAYO, BLUE, PLUM, PRIME, GREEN, HULU, KETCHUP, PEACOCK, NETFLIX, DOWN, LOW, MUSTARD","[['HULU', 'NETFLIX', 'PEACOCK', 'PRIME'], ['KETCHUP', 'MAYO', 'RELISH', 'TARTAR'], ['BLUE', 'DOWN', 'GLUM', 'LOW'], ['GREEN', 'MUSTARD', 'PLUM', 'SCARLET']]","STREAMING SERVICES - ['HULU', 'NETFLIX', 'PEACOCK', 'PRIME']
CONDIMENTS - ['KETCHUP', 'MAYO', 'RELISH', 'TARTAR']
SYNONYMS FOR SAD - ['BLUE', 'DOWN', 'GLUM', 'LOW']
CLUE CHARACTERS - ['GREEN', 'MUSTARD', 'PLUM', 'SCARLET']"
"CHANCE, BABY, MIDNIGHT, SEA, POWDER, ICE CUBE, SISTER, FUTURE, Q-TIP, JAIL, ROYAL, SIN, COMMON, GO, BOARDWALK, WONDER","[['BOARDWALK', 'CHANCE', 'GO', 'JAIL'], ['BABY', 'MIDNIGHT', 'POWDER', 'ROYAL'], ['COMMON', 'FUTURE', 'ICE CUBE', 'Q-TIP'], ['SEA', 'SIN', 'SISTER', 'WONDER']]","MONOPOLY SQUARES - ['BOARDWALK', 'CHANCE', 'GO', 'JAIL']
SHADES OF BLUE - ['BABY', 'MIDNIGHT', 'POWDER', 'ROYAL']
RAPPERS - ['COMMON', 'FUTURE', 'ICE CUBE', 'Q-TIP']
MEMBERS OF A SEPTET - ['SEA', 'SIN', 'SISTER', 'WONDER']"
"SILVER, HEAD, KID, THIGH, SHIN, JOHN, THRONE, CAN, CRAY, ANKLE, CUB, JELLY, STAR, JOEY, CALF, KNEE","[['ANKLE', 'KNEE', 'SHIN', 'THIGH'], ['CALF', 'CUB', 'JOEY', 'KID'], ['CAN', 'HEAD', 'JOHN', 'THRONE'], ['CRAY', 'JELLY', 'SILVER', 'STAR']]","LEG PARTS - ['ANKLE', 'KNEE', 'SHIN', 'THIGH']
BABY ANIMALS - ['CALF', 'CUB', 'JOEY', 'KID']
SLANG FOR TOILET - ['CAN', 'HEAD', 'JOHN', 'THRONE']
___ FISH THAT AREN’T FISH - ['CRAY', 'JELLY', 'SILVER', 'STAR']"
"FIRE TRUCK, RUBY, LOCKSMITH, FULL, PIANO, STOP SIGN, KING, CRYPTOGRAPHY, CHERRY, QUEEN, CHECKERS, FLORIDA, CHESS, BACKGAMMON, TWIN, GO","[['BACKGAMMON', 'CHECKERS', 'CHESS', 'GO'], ['FULL', 'KING', 'QUEEN', 'TWIN'], ['CHERRY', 'FIRE TRUCK', 'RUBY', 'STOP SIGN'], ['CRYPTOGRAPHY', 'FLORIDA', 'LOCKSMITH', 'PIANO']]","BOARD GAMES - ['BACKGAMMON', 'CHECKERS', 'CHESS', 'GO']
MATTRESS SIZES - ['FULL', 'KING', 'QUEEN', 'TWIN']
THINGS THAT ARE RED - ['CHERRY', 'FIRE TRUCK', 'RUBY', 'STOP SIGN']
THINGS WITH KEYS - ['CRYPTOGRAPHY', 'FLORIDA', 'LOCKSMITH', 'PIANO']"
"HALTER, CORN, POLO, CRICKET, SQUASH, MANTIS, TANK, FENCING, CAMI, BEET, TERMITE, TEE, CARROT, BEETLE, ONION, ANT","[['CRICKET', 'FENCING', 'POLO', 'SQUASH'], ['CAMI', 'HALTER', 'TANK', 'TEE'], ['BEET', 'CARROT', 'CORN', 'ONION'], ['ANT', 'BEETLE', 'MANTIS', 'TERMITE']]","SPORTS - ['CRICKET', 'FENCING', 'POLO', 'SQUASH']
TOPS - ['CAMI', 'HALTER', 'TANK', 'TEE']
VEGETABLES - ['BEET', 'CARROT', 'CORN', 'ONION']
INSECTS - ['ANT', 'BEETLE', 'MANTIS', 'TERMITE']"
"JAY, KIWI, CHAD, ORANGE, LEMON, CRANE, TOGO, FISH, DATE, TURKEY, TWINS, SCALES, SWALLOW, GOAT, GEORGIA, JORDAN","[['DATE', 'KIWI', 'LEMON', 'ORANGE'], ['CHAD', 'GEORGIA', 'JORDAN', 'TOGO'], ['CRANE', 'JAY', 'SWALLOW', 'TURKEY'], ['FISH', 'GOAT', 'SCALES', 'TWINS']]","FRUIT - ['DATE', 'KIWI', 'LEMON', 'ORANGE']
COUNTRIES - ['CHAD', 'GEORGIA', 'JORDAN', 'TOGO']
BIRDS - ['CRANE', 'JAY', 'SWALLOW', 'TURKEY']
ZODIAC SYMBOLS - ['FISH', 'GOAT', 'SCALES', 'TWINS']"
